Team,Year,Sport,Gold_Count,Silver_Count,Bronze_Count
AIN,2024,Canoe Sprint,0,0,0
AIN,2024,Cycling Road,0,0,0
AIN,2024,Rowing,0,1,0
AIN,2024,Shooting,0,0,0
AIN,2024,Swimming,0,0,0
AIN,2024,Taekwondo,0,0,0
AIN,2024,Tennis,0,2,0
AIN,2024,Trampoline Gymnastics,1,1,0
AIN,2024,Weightlifting,0,0,1
AIN,2024,Wrestling,0,0,0
Acipactli,1964,Sailing,0,0,0
Acturus,1948,Sailing,0,0,0
Afghanistan,1936,Athletics,0,0,0
Afghanistan,1936,Hockey,0,0,0
Afghanistan,1948,Football,0,0,0
Afghanistan,1948,Hockey,0,0,0
Afghanistan,1956,Hockey,0,0,0
Afghanistan,1960,Athletics,0,0,0
Afghanistan,1960,Wrestling,0,0,0
Afghanistan,1964,Wrestling,0,0,0
Afghanistan,1968,Wrestling,0,0,0
Afghanistan,1972,Wrestling,0,0,0
Afghanistan,1980,Boxing,0,0,0
Afghanistan,1980,Wrestling,0,0,0
Afghanistan,1988,Wrestling,0,0,0
Afghanistan,1996,Athletics,0,0,0
Afghanistan,2004,Athletics,0,0,0
Afghanistan,2004,Boxing,0,0,0
Afghanistan,2004,Judo,0,0,0
Afghanistan,2004,Wrestling,0,0,0
Afghanistan,2008,Athletics,0,0,0
Afghanistan,2008,Taekwondo,0,0,1
Afghanistan,2012,Athletics,0,0,0
Afghanistan,2012,Boxing,0,0,0
Afghanistan,2012,Judo,0,0,0
Afghanistan,2012,Taekwondo,0,0,1
Afghanistan,2016,Athletics,0,0,0
Afghanistan,2016,Judo,0,0,0
Afghanistan,2020,Athletics,0,0,0
Afghanistan,2020,Shooting,0,0,0
Afghanistan,2020,Swimming,0,0,0
Afghanistan,2020,Taekwondo,0,0,0
Afghanistan,2024,Athletics,0,0,0
Afghanistan,2024,Cycling Road,0,0,0
Afghanistan,2024,Judo,0,0,0
Afghanistan,2024,Swimming,0,0,0
Akatonbo,1964,Sailing,0,0,0
Alain IV,1964,Sailing,0,0,0
Albania,1972,Shooting,0,0,0
Albania,1972,Weightlifting,0,0,0
Albania,1992,Athletics,0,0,0
Albania,1992,Shooting,0,0,0
Albania,1992,Swimming,0,0,0
Albania,1992,Weightlifting,0,0,0
Albania,1996,Athletics,0,0,0
Albania,1996,Cycling,0,0,0
Albania,1996,Shooting,0,0,0
Albania,1996,Weightlifting,0,0,0
Albania,1996,Wrestling,0,0,0
Albania,2000,Athletics,0,0,0
Albania,2000,Shooting,0,0,0
Albania,2000,Weightlifting,0,0,0
Albania,2004,Athletics,0,0,0
Albania,2004,Swimming,0,0,0
Albania,2004,Weightlifting,0,0,0
Albania,2004,Wrestling,0,0,0
Albania,2008,Athletics,0,0,0
Albania,2008,Judo,0,0,0
Albania,2008,Shooting,0,0,0
Albania,2008,Swimming,0,0,0
Albania,2008,Weightlifting,0,0,0
Albania,2008,Wrestling,0,0,0
Albania,2012,Athletics,0,0,0
Albania,2012,Judo,0,0,0
Albania,2012,Shooting,0,0,0
Albania,2012,Swimming,0,0,0
Albania,2012,Weightlifting,0,0,0
Albania,2016,Athletics,0,0,0
Albania,2016,Swimming,0,0,0
Albania,2016,Weightlifting,0,0,0
Albania,2020,Artistic Gymnastics,0,0,0
Albania,2020,Athletics,0,0,0
Albania,2020,Judo,0,0,0
Albania,2020,Shooting,0,0,0
Albania,2020,Swimming,0,0,0
Albania,2020,Weightlifting,0,0,0
Albania,2024,Athletics,0,0,0
Albania,2024,Shooting,0,0,0
Albania,2024,Swimming,0,0,0
Albania,2024,Wrestling,0,0,2
Alcaid,1952,Sailing,0,0,0
Alcyon-6,1900,Sailing,0,0,0
Alcyon-7,1900,Sailing,0,0,0
Aldebaran,1964,Sailing,0,0,0
Aldebaran II,1960,Sailing,0,0,0
Aletta,1960,Sailing,0,0,0
Algeria,1964,Gymnastics,0,0,0
Algeria,1968,Boxing,0,0,0
Algeria,1968,Gymnastics,0,0,0
Algeria,1972,Athletics,0,0,0
Algeria,1972,Boxing,0,0,0
Algeria,1980,Athletics,0,0,0
Algeria,1980,Boxing,0,0,0
Algeria,1980,Fencing,0,0,0
Algeria,1980,Football,0,0,0
Algeria,1980,Handball,0,0,0
Algeria,1980,Judo,0,0,0
Algeria,1980,Swimming,0,0,0
Algeria,1980,Weightlifting,0,0,0
Algeria,1980,Wrestling,0,0,0
Algeria,1984,Athletics,0,0,0
Algeria,1984,Boxing,0,0,2
Algeria,1984,Handball,0,0,0
Algeria,1984,Weightlifting,0,0,0
Algeria,1988,Athletics,0,0,0
Algeria,1988,Boxing,0,0,0
Algeria,1988,Cycling,0,0,0
Algeria,1988,Handball,0,0,0
Algeria,1988,Judo,0,0,0
Algeria,1988,Tennis,0,0,0
Algeria,1988,Weightlifting,0,0,0
Algeria,1992,Athletics,1,0,0
Algeria,1992,Boxing,0,0,1
Algeria,1992,Judo,0,0,0
Algeria,1992,Swimming,0,0,0
Algeria,1992,Volleyball,0,0,0
Algeria,1992,Weightlifting,0,0,0
Algeria,1992,Wrestling,0,0,0
Algeria,1996,Athletics,1,0,0
Algeria,1996,Boxing,1,0,1
Algeria,1996,Fencing,0,0,0
Algeria,1996,Handball,0,0,0
Algeria,1996,Judo,0,0,0
Algeria,1996,Rowing,0,0,0
Algeria,1996,Swimming,0,0,0
Algeria,1996,Weightlifting,0,0,0
Algeria,1996,Wrestling,0,0,0
Algeria,2000,Athletics,1,1,2
Algeria,2000,Boxing,0,0,1
Algeria,2000,Fencing,0,0,0
Algeria,2000,Judo,0,0,0
Algeria,2000,Rowing,0,0,0
Algeria,2000,Swimming,0,0,0
Algeria,2000,Table Tennis,0,0,0
Algeria,2000,Trampolining,0,0,0
Algeria,2000,Weightlifting,0,0,0
Algeria,2000,Wrestling,0,0,0
Algeria,2004,Athletics,0,0,0
Algeria,2004,Boxing,0,0,0
Algeria,2004,Fencing,0,0,0
Algeria,2004,Judo,0,0,0
Algeria,2004,Rowing,0,0,0
Algeria,2004,Swimming,0,0,0
Algeria,2004,Table Tennis,0,0,0
Algeria,2004,Tennis,0,0,0
Algeria,2004,Weightlifting,0,0,0
Algeria,2004,Wrestling,0,0,0
Algeria,2008,Athletics,0,0,0
Algeria,2008,Badminton,0,0,0
Algeria,2008,Boxing,0,0,0
Algeria,2008,Cycling,0,0,0
Algeria,2008,Fencing,0,0,0
Algeria,2008,Judo,0,1,1
Algeria,2008,Rowing,0,0,0
Algeria,2008,Swimming,0,0,0
Algeria,2008,Table Tennis,0,0,0
Algeria,2008,Volleyball,0,0,0
Algeria,2008,Weightlifting,0,0,0
Algeria,2008,Wrestling,0,0,0
Algeria,2012,Athletics,1,0,0
Algeria,2012,Boxing,0,0,0
Algeria,2012,Cycling,0,0,0
Algeria,2012,Fencing,0,0,0
Algeria,2012,Judo,0,0,0
Algeria,2012,Rowing,0,0,0
Algeria,2012,Shooting,0,0,0
Algeria,2012,Swimming,0,0,0
Algeria,2012,Taekwondo,0,0,0
Algeria,2012,Volleyball,0,0,0
Algeria,2012,Weightlifting,0,0,0
Algeria,2012,Wrestling,0,0,0
Algeria,2016,Athletics,0,2,0
Algeria,2016,Boxing,0,0,0
Algeria,2016,Cycling,0,0,0
Algeria,2016,Fencing,0,0,0
Algeria,2016,Football,0,0,0
Algeria,2016,Gymnastics,0,0,0
Algeria,2016,Judo,0,0,0
Algeria,2016,Rowing,0,0,0
Algeria,2016,Sailing,0,0,0
Algeria,2016,Shooting,0,0,0
Algeria,2016,Swimming,0,0,0
Algeria,2016,Weightlifting,0,0,0
Algeria,2016,Wrestling,0,0,0
Algeria,2020,Athletics,0,0,0
Algeria,2020,Boxing,0,0,0
Algeria,2020,Canoe Sprint,0,0,0
Algeria,2020,Cycling Road,0,0,0
Algeria,2020,Fencing,0,0,0
Algeria,2020,Judo,0,0,0
Algeria,2020,Karate,0,0,0
Algeria,2020,Marathon Swimming,0,0,0
Algeria,2020,Rowing,0,0,0
Algeria,2020,Sailing,0,0,0
Algeria,2020,Shooting,0,0,0
Algeria,2020,Swimming,0,0,0
Algeria,2020,Table Tennis,0,0,0
Algeria,2020,Weightlifting,0,0,0
Algeria,2020,Wrestling,0,0,0
Algeria,2024,Artistic Gymnastics,1,0,0
Algeria,2024,Athletics,0,0,1
Algeria,2024,Badminton,0,0,0
Algeria,2024,Boxing,1,0,0
Algeria,2024,Canoe Slalom,0,0,0
Algeria,2024,Cycling Road,0,0,0
Algeria,2024,Fencing,0,0,0
Algeria,2024,Judo,0,0,0
Algeria,2024,Rowing,0,0,0
Algeria,2024,Sailing,0,0,0
Algeria,2024,Shooting,0,0,0
Algeria,2024,Swimming,0,0,0
Algeria,2024,Table Tennis,0,0,0
Algeria,2024,Weightlifting,0,0,0
Algeria,2024,Wrestling,0,0,0
Ali-Baba II,1948,Sailing,0,0,5
Ali-Baba IV,1952,Sailing,0,0,0
Ali-Baba IX,1964,Sailing,0,0,0
Ali-Baba VI,1960,Sailing,0,0,0
Allegro,1948,Sailing,0,0,0
Almaz,1964,Sailing,0,0,0
Aloha II,1924,Sailing,0,0,0
Aloha II,1948,Sailing,0,0,0
Amateur Athletic Association,1900,Athletics,5,0,0
American Samoa,1988,Athletics,0,0,0
American Samoa,1988,Boxing,0,0,0
American Samoa,1988,Weightlifting,0,0,0
American Samoa,1988,Wrestling,0,0,0
American Samoa,1992,Boxing,0,0,0
American Samoa,1992,Weightlifting,0,0,0
American Samoa,1996,Athletics,0,0,0
American Samoa,1996,Boxing,0,0,0
American Samoa,1996,Sailing,0,0,0
American Samoa,1996,Weightlifting,0,0,0
American Samoa,1996,Wrestling,0,0,0
American Samoa,2000,Archery,0,0,0
American Samoa,2000,Athletics,0,0,0
American Samoa,2000,Weightlifting,0,0,0
American Samoa,2004,Athletics,0,0,0
American Samoa,2004,Weightlifting,0,0,0
American Samoa,2008,Athletics,0,0,0
American Samoa,2008,Judo,0,0,0
American Samoa,2008,Swimming,0,0,0
American Samoa,2012,Athletics,0,0,0
American Samoa,2012,Judo,0,0,0
American Samoa,2012,Swimming,0,0,0
American Samoa,2016,Athletics,0,0,0
American Samoa,2016,Judo,0,0,0
American Samoa,2016,Weightlifting,0,0,0
American Samoa,2020,Athletics,0,0,0
American Samoa,2020,Sailing,0,0,0
American Samoa,2020,Swimming,0,0,0
American Samoa,2020,Weightlifting,0,0,0
American Samoa,2024,Athletics,0,0,0
American Samoa,2024,Swimming,0,0,0
Amolgavar,1924,Sailing,0,0,0
Amstel Amsterdam,1908,Rowing,0,0,4
Amulet-3,1900,Sailing,0,0,0
Amulet-7,1900,Sailing,0,0,0
Ancora,1920,Sailing,4,0,0
Andorinha,1948,Sailing,0,0,0
